
                     mean       std    median      5.0%     95.0%     n_eff     r_hat
             D0      0.03      0.03      0.02      0.00      0.07     73.22      1.05
             E0     43.30     47.13     29.57      0.06    106.61     48.32      1.05
             H0      0.09      0.11      0.06      0.00      0.19     67.60      1.00
             I0     56.47     18.57     51.91     28.13     80.66     95.12      1.02
        beta[0]      1.56      0.44      1.47      1.02      2.45     11.78      0.99
        beta[1]      1.60      0.41      1.57      1.00      2.22     14.04      1.01
        beta[2]      1.68      0.41      1.66      1.03      2.29     18.11      1.03
        beta[3]      1.80      0.43      1.74      0.93      2.34     32.54      1.07
        beta[4]      1.96      0.41      1.96      1.32      2.65     61.03      1.02
        beta[5]      2.13      0.39      2.11      1.41      2.65     90.02      0.99
        beta[6]      2.20      0.38      2.21      1.70      2.92     97.95      1.02
        beta[7]      2.07      0.35      2.08      1.57      2.57     86.70      1.01
        beta[8]      1.81      0.35      1.78      1.15      2.27    130.15      0.99
        beta[9]      1.55      0.30      1.54      1.09      2.07     72.15      0.99
       beta[10]      1.33      0.27      1.29      0.95      1.78     90.74      0.99
       beta[11]      1.12      0.21      1.10      0.82      1.45     71.65      0.99
       beta[12]      0.91      0.17      0.90      0.62      1.17    140.66      0.99
       beta[13]      0.77      0.14      0.75      0.58      1.01    114.82      1.02
       beta[14]      0.68      0.14      0.66      0.46      0.90    113.26      1.00
       beta[15]      0.60      0.13      0.58      0.39      0.82    101.49      1.00
       beta[16]      0.56      0.14      0.54      0.32      0.77     96.40      1.00
       beta[17]      0.54      0.13      0.53      0.34      0.72     98.30      1.01
       beta[18]      0.51      0.12      0.51      0.33      0.68    108.86      0.99
       beta[19]      0.52      0.11      0.51      0.34      0.70    137.89      0.99
       beta[20]      0.53      0.10      0.53      0.38      0.66     57.90      1.01
       beta[21]      0.55      0.11      0.54      0.35      0.69     60.13      1.08
       beta[22]      0.57      0.11      0.57      0.37      0.71     41.72      1.09
       beta[23]      0.61      0.13      0.61      0.42      0.81     60.06      1.11
       beta[24]      0.65      0.15      0.64      0.43      0.96     50.41      1.05
       beta[25]      0.66      0.16      0.63      0.38      0.87     84.43      1.03
       beta[26]      0.65      0.16      0.63      0.44      0.95     92.91      0.99
       beta[27]      0.66      0.16      0.62      0.43      0.91     80.51      0.99
       beta[28]      0.66      0.13      0.65      0.45      0.85     93.90      0.99
       beta[29]      0.65      0.14      0.63      0.42      0.89     58.85      1.03
       beta[30]      0.63      0.14      0.60      0.48      0.95     85.83      1.01
       beta[31]      0.63      0.17      0.61      0.40      0.92     77.47      1.00
       beta[32]      0.62      0.18      0.60      0.35      0.91     42.10      1.00
       beta[33]      0.63      0.17      0.61      0.31      0.88     40.23      0.99
       beta[34]      0.65      0.19      0.63      0.40      0.93     53.88      0.99
       beta[35]      0.67      0.21      0.63      0.31      0.91     32.99      1.01
       beta[36]      0.67      0.23      0.65      0.32      0.99     26.76      1.01
       beta[37]      0.70      0.25      0.65      0.31      1.07     27.38      1.02
       beta[38]      0.74      0.29      0.69      0.37      1.27     31.10      1.03
       beta[39]      0.76      0.32      0.74      0.32      1.33     37.07      1.01
       beta[40]      0.79      0.37      0.77      0.21      1.38     32.71      1.02
       beta[41]      0.83      0.45      0.73      0.26      1.53     34.44      1.02
       beta[42]      0.86      0.49      0.80      0.24      1.60     37.95      1.02
          beta0      1.60      0.47      1.56      0.98      2.54      7.60      0.99
     death_prob      0.01      0.00      0.01      0.00      0.01     11.00      1.14
     death_rate      0.08      0.02      0.08      0.04      0.12    104.07      1.00
       det_prob      0.29      0.06      0.29      0.21      0.41    109.19      1.00
     det_prob_d      0.90      0.04      0.90      0.84      0.95    109.92      0.99
 det_rate_rw[0]      0.28      0.08      0.27      0.16      0.40     43.19      1.02
 det_rate_rw[1]      0.26      0.08      0.26      0.14      0.38     24.19      1.02
 det_rate_rw[2]      0.24      0.09      0.23      0.11      0.39     18.47      1.02
 det_rate_rw[3]      0.22      0.08      0.21      0.11      0.34     12.39      1.06
 det_rate_rw[4]      0.20      0.08      0.19      0.06      0.31      9.05      1.13
 det_rate_rw[5]      0.18      0.08      0.18      0.06      0.28      7.75      1.10
 det_rate_rw[6]      0.16      0.07      0.16      0.05      0.26      8.68      1.09
 det_rate_rw[7]      0.14      0.06      0.14      0.05      0.23      8.41      1.12
 det_rate_rw[8]      0.12      0.05      0.11      0.04      0.21      8.76      1.11
 det_rate_rw[9]      0.11      0.05      0.10      0.03      0.19      9.47      1.08
det_rate_rw[10]      0.10      0.04      0.10      0.03      0.16      9.69      1.10
det_rate_rw[11]      0.09      0.04      0.09      0.02      0.15      9.63      1.12
det_rate_rw[12]      0.09      0.04      0.09      0.03      0.14      9.51      1.13
det_rate_rw[13]      0.09      0.04      0.09      0.02      0.15      8.45      1.17
det_rate_rw[14]      0.09      0.04      0.09      0.04      0.16      8.70      1.16
det_rate_rw[15]      0.09      0.04      0.09      0.02      0.15     10.40      1.12
det_rate_rw[16]      0.09      0.04      0.09      0.03      0.15      9.37      1.13
det_rate_rw[17]      0.09      0.04      0.09      0.03      0.15      8.13      1.16
det_rate_rw[18]      0.09      0.04      0.09      0.03      0.14      8.75      1.14
det_rate_rw[19]      0.09      0.04      0.09      0.02      0.14      8.29      1.16
det_rate_rw[20]      0.09      0.04      0.10      0.03      0.15      9.51      1.13
det_rate_rw[21]      0.10      0.04      0.10      0.02      0.15      8.65      1.13
det_rate_rw[22]      0.10      0.04      0.10      0.04      0.17      8.37      1.13
det_rate_rw[23]      0.10      0.04      0.10      0.03      0.16      8.75      1.13
det_rate_rw[24]      0.10      0.04      0.10      0.02      0.16      7.54      1.14
det_rate_rw[25]      0.10      0.05      0.10      0.03      0.17      9.49      1.12
det_rate_rw[26]      0.11      0.05      0.10      0.03      0.18      9.36      1.10
