
                     mean       std    median      5.0%     95.0%     n_eff     r_hat
             D0     13.04      0.91     13.02     11.57     14.57     33.59      1.03
             E0   7647.19   3592.28   6829.80   2794.92  13693.95     28.45      1.10
             H0     87.62     23.96     86.00     51.68    126.28     68.59      1.01
             I0   2311.16    706.41   2184.51   1299.98   3382.45     71.99      1.03
        beta[0]      1.61      0.37      1.65      0.99      2.18     12.28      1.04
        beta[1]      1.63      0.39      1.56      0.98      2.15     26.37      1.00
        beta[2]      1.58      0.30      1.54      1.13      2.09     73.53      0.99
        beta[3]      1.55      0.25      1.53      1.09      1.93    129.78      0.99
        beta[4]      1.55      0.25      1.55      1.13      1.91     82.75      0.99
        beta[5]      1.57      0.24      1.55      1.20      1.95     93.07      1.01
        beta[6]      1.61      0.25      1.60      1.18      1.94    184.76      1.00
        beta[7]      1.60      0.22      1.57      1.32      2.05    131.92      0.99
        beta[8]      1.52      0.25      1.50      1.15      1.91    215.61      0.99
        beta[9]      1.33      0.24      1.35      0.96      1.71    129.70      0.99
       beta[10]      1.13      0.16      1.11      0.91      1.39    113.87      0.99
       beta[11]      0.93      0.14      0.93      0.73      1.15     82.13      0.99
       beta[12]      0.80      0.13      0.78      0.59      0.99     95.50      0.99
       beta[13]      0.67      0.13      0.66      0.48      0.91    118.33      1.00
       beta[14]      0.58      0.13      0.58      0.41      0.77    119.42      1.01
       beta[15]      0.50      0.12      0.48      0.31      0.70     78.63      1.00
       beta[16]      0.45      0.10      0.43      0.30      0.60     74.52      1.01
       beta[17]      0.41      0.11      0.39      0.19      0.55     70.52      1.01
       beta[18]      0.36      0.10      0.34      0.23      0.53     39.87      1.03
       beta[19]      0.34      0.09      0.33      0.21      0.47     59.36      1.03
       beta[20]      0.31      0.08      0.31      0.18      0.44     69.42      1.03
       beta[21]      0.29      0.08      0.29      0.17      0.41     49.84      1.02
       beta[22]      0.27      0.08      0.28      0.12      0.36     80.08      1.03
       beta[23]      0.25      0.07      0.24      0.12      0.36     71.59      1.02
       beta[24]      0.24      0.07      0.25      0.11      0.34    105.24      1.02
       beta[25]      0.23      0.08      0.23      0.09      0.35     60.58      1.04
       beta[26]      0.23      0.09      0.22      0.09      0.36     71.06      1.02
       beta[27]      0.23      0.09      0.22      0.09      0.35     66.58      1.02
       beta[28]      0.23      0.09      0.22      0.09      0.35     57.32      1.01
       beta[29]      0.23      0.09      0.21      0.09      0.37     50.93      0.99
       beta[30]      0.24      0.10      0.21      0.10      0.40     56.93      0.99
       beta[31]      0.24      0.11      0.22      0.09      0.42     47.78      0.99
       beta[32]      0.24      0.11      0.22      0.08      0.41     35.14      0.99
       beta[33]      0.24      0.12      0.22      0.06      0.42     30.76      1.01
       beta[34]      0.24      0.12      0.23      0.07      0.42     28.20      1.01
       beta[35]      0.25      0.12      0.24      0.08      0.41     28.37      1.04
       beta[36]      0.24      0.12      0.24      0.07      0.42     24.35      1.04
       beta[37]      0.26      0.13      0.24      0.06      0.41     23.20      1.06
       beta[38]      0.26      0.14      0.24      0.06      0.46     23.94      1.05
       beta[39]      0.25      0.14      0.22      0.05      0.44     21.60      1.05
       beta[40]      0.26      0.14      0.23      0.06      0.45     20.94      1.08
       beta[41]      0.26      0.16      0.23      0.07      0.46     23.72      1.07
       beta[42]      0.28      0.19      0.23      0.06      0.51     23.39      1.09
          beta0      1.63      0.36      1.67      1.05      2.21      6.27      1.14
     death_prob      0.05      0.01      0.05      0.03      0.07     14.84      1.16
     death_rate      0.11      0.03      0.11      0.07      0.15     25.82      1.11
       det_prob      0.28      0.06      0.28      0.18      0.38    151.36      0.99
     det_prob_d      0.90      0.03      0.90      0.85      0.95     47.18      1.01
 det_rate_rw[0]      0.27      0.07      0.26      0.15      0.38     92.27      1.02
 det_rate_rw[1]      0.28      0.08      0.27      0.17      0.40     66.70      1.02
 det_rate_rw[2]      0.32      0.09      0.32      0.18      0.44     41.97      1.03
 det_rate_rw[3]      0.36      0.10      0.35      0.22      0.52     31.94      1.03
 det_rate_rw[4]      0.38      0.10      0.37      0.21      0.53     33.72      1.02
 det_rate_rw[5]      0.39      0.11      0.39      0.23      0.58     39.13      1.03
